                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.0286,                0.87895,                 1.2059,                 1.2375,                 1.1037,                   1.21,                0.34343,                0.40076,                0.28026,                0.13851,                 1.7537,                 2.3414,                 1.8327,                 1.8673,                 2.8022,                 1.7205,              0.0016198,              0.0016198,              0.0016198
                     99,                 1.0211,                 0.8712,                  1.204,                 1.2009,                 1.1081,                 1.2024,                0.35656,                0.41168,                0.31847,                0.15541,                 1.7545,                 2.3498,                 1.8088,                 1.8621,                 2.6514,                 1.6678,              0.0016159,              0.0016159,              0.0016159
                    100,                0.97802,                0.84962,                 1.1878,                 1.1771,                 1.0635,                 1.1851,                0.43397,                0.34784,                  0.324,                0.15716,                 1.7994,                 2.2632,                 1.8364,                 1.8751,                  2.588,                 1.6756,              0.0016119,              0.0016119,              0.0016119
                    101,                0.97801,                0.82569,                 1.1976,                 1.1913,                  1.044,                 1.2063,                 0.2993,                0.44423,                0.25299,                0.12255,                 1.8158,                 2.5508,                 1.8447,                 1.8424,                  2.786,                 1.7001,               0.001608,               0.001608,               0.001608
                    102,                 1.0154,                0.85022,                 1.2041,                 1.2019,                 1.0695,                 1.2063,                0.42656,                0.42607,                0.33123,                0.17258,                 1.7218,                 2.1181,                 1.7638,                 1.7961,                  2.517,                 1.6203,               0.001604,               0.001604,               0.001604
                    103,                 1.0033,                0.82794,                 1.1939,                 1.1968,                 1.0422,                 1.1948,                0.39574,                0.42722,                0.31934,                0.15292,                 1.7328,                 2.1851,                 1.7858,                 1.8425,                  2.467,                 1.6528,                 0.0016,                 0.0016,                 0.0016
                    104,                0.98471,                0.84086,                 1.1888,                 1.1845,                 1.0629,                 1.1932,                0.39026,                  0.431,                0.31035,                0.15221,                 1.6848,                 2.1106,                 1.7238,                 1.8044,                 2.4344,                  1.632,              0.0015961,              0.0015961,              0.0015961
                    105,                 1.0027,                 0.8362,                 1.1909,                 1.1876,                 1.0563,                 1.1956,                0.37768,                0.34405,                0.25015,                0.12461,                 1.8274,                 2.3299,                 1.8638,                  1.906,                 2.6955,                 1.7109,              0.0015921,              0.0015921,              0.0015921
                    106,                0.99565,                0.83395,                 1.1849,                 1.1788,                 1.0472,                 1.1917,                0.39715,                0.40832,                0.31715,                0.15633,                 1.7318,                 2.0856,                 1.7488,                 1.8502,                 2.4159,                 1.6304,              0.0015882,              0.0015882,              0.0015882
                    107,                0.98078,                0.81761,                 1.1806,                 1.1829,                 1.0361,                 1.1868,                0.42653,                0.43289,                0.32553,                0.15074,                 1.7462,                 2.0617,                 1.7521,                 1.8088,                 2.4372,                 1.6214,              0.0015842,              0.0015842,              0.0015842
                    108,                0.98528,                0.80925,                 1.1848,                 1.1893,                 1.0424,                 1.1918,                0.36311,                0.38752,                0.28491,                0.14517,                 1.7766,                 2.3001,                  1.752,                 1.8141,                 2.5939,                 1.5953,              0.0015802,              0.0015802,              0.0015802
                    109,                0.95683,                0.80632,                 1.1781,                 1.1493,                 1.0278,                 1.1861,                 0.4393,                 0.4221,                0.33728,                0.16529,                 1.6971,                 2.0176,                 1.6868,                 1.8238,                 2.3946,                 1.5962,              0.0015763,              0.0015763,              0.0015763
                    110,                0.97353,                0.80457,                 1.1812,                   1.17,                 1.0295,                 1.1879,                0.40254,                0.41399,                0.33165,                0.16921,                  1.718,                 2.1911,                 1.7116,                 1.7999,                 2.5778,                 1.5936,              0.0015723,              0.0015723,              0.0015723
                    111,                0.95089,                0.78249,                 1.1643,                 1.1396,                0.99693,                 1.1733,                0.44778,                0.41021,                0.34398,                0.17336,                 1.7205,                 1.9663,                 1.7555,                 1.7981,                 2.5183,                 1.6358,              0.0015684,              0.0015684,              0.0015684
                    112,                0.98911,                0.81082,                 1.1775,                 1.2071,                 1.0402,                 1.1869,                0.41033,                0.46314,                0.34184,                0.16976,                 1.6883,                 2.0032,                 1.7358,                 1.8627,                 2.3873,                 1.6696,              0.0015644,              0.0015644,              0.0015644
                    113,                0.95365,                0.80981,                 1.1811,                  1.152,                 1.0111,                 1.1963,                0.37588,                0.41399,                0.32044,                0.16707,                  1.672,                 2.0331,                 1.7232,                 1.8329,                 2.4316,                 1.6681,              0.0015604,              0.0015604,              0.0015604
                    114,                0.94876,                0.79122,                 1.1608,                 1.1585,                 1.0208,                 1.1657,                0.48154,                0.36106,                 0.3379,                 0.1624,                  1.761,                 2.0298,                 1.8042,                 1.8791,                 2.4201,                 1.6807,              0.0015565,              0.0015565,              0.0015565
                    115,                0.94337,                0.77435,                 1.1724,                 1.1436,                0.97213,                 1.1824,                0.35896,                0.42155,                0.30096,                0.14647,                 1.7653,                 2.1904,                 1.7957,                 1.8518,                 2.6354,                 1.6773,              0.0015525,              0.0015525,              0.0015525
                    116,                0.93077,                0.78081,                 1.1544,                 1.1231,                0.99335,                 1.1627,                0.36496,                0.36937,                0.27775,                0.13322,                 1.8553,                 2.2055,                 1.8854,                    1.9,                 2.6591,                 1.7119,              0.0015486,              0.0015486,              0.0015486
                    117,                0.94739,                 0.7724,                  1.167,                 1.1435,                0.97185,                 1.1797,                0.43719,                0.40454,                0.33829,                0.16696,                 1.7746,                 1.9518,                 1.8052,                 1.8329,                 2.4086,                 1.6778,              0.0015446,              0.0015446,              0.0015446
                    118,                0.93647,                0.75909,                 1.1559,                 1.1312,                0.96495,                 1.1636,                0.44481,                0.39681,                0.33016,                0.17013,                 1.7977,                 2.0879,                 1.8012,                 1.8364,                 2.5437,                 1.6735,              0.0015406,              0.0015406,              0.0015406
                    119,                 0.9462,                0.76379,                 1.1476,                 1.1677,                0.99655,                 1.1576,                0.41666,                0.42533,                0.32823,                0.16614,                 1.7414,                 1.9807,                 1.7496,                 1.8022,                 2.4391,                 1.6146,              0.0015367,              0.0015367,              0.0015367
                    120,                 0.9536,                0.78479,                 1.1673,                 1.1516,                0.98428,                 1.1828,                0.48203,                0.42397,                0.36457,                 0.1922,                 1.6922,                 1.8241,                 1.7205,                 1.8018,                 2.3034,                 1.6248,              0.0015327,              0.0015327,              0.0015327
                    121,                 0.9556,                0.78207,                  1.158,                 1.1518,                 1.0078,                 1.1673,                0.46463,                0.43148,                0.36268,                0.18095,                 1.6423,                 1.8597,                 1.6722,                 1.7844,                 2.2066,                 1.6055,              0.0015288,              0.0015288,              0.0015288
                    122,                0.95178,                0.77088,                 1.1549,                  1.154,                0.98484,                 1.1618,                0.41984,                0.43478,                 0.3483,                0.17426,                  1.706,                 1.9322,                 1.7309,                  1.845,                 2.3511,                 1.6361,              0.0015248,              0.0015248,              0.0015248
                    123,                0.94146,                0.78407,                 1.1648,                 1.1266,                0.99905,                 1.1703,                0.40711,                0.30764,                0.27188,                0.13402,                 1.8314,                 2.3495,                 1.8706,                 1.8987,                 2.8473,                 1.7281,              0.0015208,              0.0015208,              0.0015208
                    124,                0.91478,                0.74927,                 1.1386,                 1.1029,                0.95727,                 1.1472,                0.42242,                0.41021,                0.36098,                0.17624,                 1.7654,                 1.9961,                  1.796,                 1.8519,                 2.3511,                 1.6588,              0.0015169,              0.0015169,              0.0015169
                    125,                0.94004,                0.75516,                 1.1505,                 1.1395,                0.96774,                  1.153,                0.48189,                0.36862,                0.32453,                0.16191,                 1.7591,                 1.9294,                 1.7834,                 1.8666,                  2.316,                 1.6524,              0.0015129,              0.0015129,              0.0015129
                    126,                0.93877,                0.77804,                 1.1683,                 1.1374,                0.97464,                  1.175,                0.45727,                0.37807,                0.33291,                0.16239,                 1.7772,                  1.972,                 1.8246,                 1.8994,                   2.36,                 1.7245,               0.001509,               0.001509,               0.001509
                    127,                0.92736,                0.75816,                 1.1359,                 1.1367,                0.97234,                  1.141,                0.41076,                0.42533,                0.31404,                0.14373,                 1.7949,                 2.1118,                 1.8293,                 1.8704,                 2.4286,                 1.6793,               0.001505,               0.001505,               0.001505
                    128,                0.91488,                 0.7494,                 1.1372,                 1.1175,                0.94523,                 1.1447,                0.44381,                0.34972,                0.29997,                0.14926,                 1.7681,                 2.2678,                 1.7798,                 1.8614,                 2.6766,                 1.6685,               0.001501,               0.001501,               0.001501
                    129,                 0.9263,                0.73516,                 1.1543,                 1.1206,                0.92294,                 1.1696,                0.38443,                0.40454,                0.29539,                0.13526,                 1.8339,                 2.2756,                 1.8395,                 1.9512,                  2.815,                 1.7062,              0.0014971,              0.0014971,              0.0014971
                    130,                0.88588,                0.73658,                 1.1309,                 1.0607,                0.92115,                 1.1485,                0.33697,                0.36484,                 0.2393,                0.11826,                 1.7711,                 2.5146,                 1.7843,                  1.904,                 2.9759,                 1.6865,              0.0014931,              0.0014931,              0.0014931
                    131,                0.92158,                0.74452,                 1.1462,                 1.1118,                0.93678,                 1.1546,                0.41363,                0.44271,                0.35529,                0.18526,                 1.7357,                 1.9905,                 1.7674,                 1.9161,                 2.3528,                 1.6918,              0.0014892,              0.0014892,              0.0014892
                    132,                0.87885,                0.72517,                 1.1189,                 1.0692,                0.91891,                 1.1374,                0.42276,                0.46314,                0.35451,                0.17547,                 1.7543,                 1.9585,                 1.8032,                 1.8691,                  2.449,                 1.6704,              0.0014852,              0.0014852,              0.0014852
                    133,                0.90878,                 0.7275,                 1.1274,                 1.1258,                0.90874,                   1.14,                0.43841,                0.41966,                0.34126,                 0.1686,                 1.7166,                 1.9873,                 1.7915,                 1.8128,                 2.4813,                 1.6521,              0.0014812,              0.0014812,              0.0014812
                    134,                0.90199,                0.71796,                  1.133,                 1.0827,                0.91248,                 1.1395,                 0.4447,                0.42155,                0.34863,                0.16628,                 1.7306,                 2.0097,                 1.7662,                 1.8661,                 2.3913,                 1.6841,              0.0014773,              0.0014773,              0.0014773
                    135,                0.90567,                0.71924,                  1.129,                  1.103,                0.90574,                 1.1448,                0.45708,                0.40076,                0.33235,                0.17409,                 1.6897,                 2.1141,                 1.7616,                 1.7931,                 2.6493,                 1.6327,              0.0014733,              0.0014733,              0.0014733
                    136,                0.87997,                0.71495,                 1.1239,                 1.0638,                0.89686,                 1.1345,                0.48406,                  0.376,                0.33122,                0.17744,                  1.755,                 2.0662,                 1.8112,                  1.875,                 2.6206,                 1.7072,              0.0014694,              0.0014694,              0.0014694
                    137,                0.90834,                0.73074,                 1.1431,                 1.1115,                0.92416,                 1.1537,                0.43802,                0.46125,                0.37217,                0.19091,                 1.7244,                 1.9374,                  1.791,                 1.8369,                  2.467,                 1.6589,              0.0014654,              0.0014654,              0.0014654
                    138,                0.88213,                0.71226,                 1.1348,                 1.0592,                0.89939,                 1.1423,                0.44176,                0.46881,                 0.3614,                0.18187,                 1.7647,                 2.0005,                 1.8217,                 1.8704,                 2.3998,                 1.6953,              0.0014614,              0.0014614,              0.0014614
                    139,                0.92092,                0.72234,                 1.1324,                 1.1253,                0.92216,                 1.1452,                0.37433,                0.41588,                0.31854,                0.15735,                 1.7556,                 2.2277,                 1.7687,                 1.8943,                 2.5637,                 1.6841,              0.0014575,              0.0014575,              0.0014575
                    140,                0.88838,                0.71269,                 1.1314,                 1.0912,                0.90543,                 1.1472,                0.41457,                0.39698,                0.29909,                  0.152,                  1.736,                 2.2122,                 1.7945,                 1.8587,                 2.7191,                 1.6897,              0.0014535,              0.0014535,              0.0014535
                    141,                 0.8708,                 0.7033,                 1.1154,                 1.0815,                0.89592,                 1.1336,                0.46187,                0.41777,                0.33698,                0.16347,                 1.7547,                 2.0448,                 1.8041,                 1.8381,                 2.5568,                 1.6768,              0.0014496,              0.0014496,              0.0014496
                    142,                0.90458,                0.69866,                 1.1255,                 1.0947,                0.87159,                 1.1349,                0.46694,                0.39698,                0.33412,                0.16457,                 1.7389,                 2.1444,                 1.8076,                 1.8009,                 2.6304,                 1.6575,              0.0014456,              0.0014456,              0.0014456
                    143,                0.89006,                0.69817,                 1.1308,                 1.0623,                0.88554,                 1.1428,                0.43029,                0.39887,                0.34398,                 0.1741,                  1.725,                 2.2263,                  1.793,                 1.8622,                 2.6739,                 1.7152,              0.0014416,              0.0014416,              0.0014416
                    144,                0.91295,                0.72543,                 1.1294,                 1.0997,                0.91002,                 1.1439,                 0.4229,                0.42112,                0.33822,                0.17072,                 1.7371,                 2.2086,                 1.7765,                  1.853,                 2.6555,                 1.6914,              0.0014377,              0.0014377,              0.0014377
                    145,                0.88727,                0.69407,                 1.1113,                 1.0959,                0.89035,                 1.1265,                0.49846,                0.36862,                0.34119,                0.16186,                 1.7658,                 2.0515,                 1.8038,                 1.9095,                 2.4442,                 1.7334,              0.0014337,              0.0014337,              0.0014337
                    146,                0.89407,                0.71059,                 1.1239,                 1.0925,                0.90692,                 1.1339,                0.47212,                0.43478,                0.35917,                 0.1827,                  1.703,                  1.933,                 1.7914,                 1.7741,                  2.399,                   1.64,              0.0014298,              0.0014298,              0.0014298
                    147,                0.87802,                 0.6913,                 1.1088,                 1.0903,                0.87453,                 1.1226,                0.43417,                0.45255,                 0.3654,                0.18233,                 1.7388,                 1.9504,                 1.8295,                 1.7865,                 2.4059,                 1.6383,              0.0014258,              0.0014258,              0.0014258
                    148,                0.87138,                0.68907,                 1.1149,                 1.0566,                0.86307,                 1.1241,                0.46446,                0.39675,                0.33102,                0.16523,                 1.7562,                 1.9869,                 1.8248,                 1.8331,                 2.5234,                 1.6551,              0.0014218,              0.0014218,              0.0014218
                    149,                0.85373,                0.67477,                 1.0943,                 1.0462,                0.84286,                 1.1017,                0.38443,                0.44153,                0.29898,                0.14854,                 1.7681,                  2.129,                 1.8321,                 1.8412,                 2.6586,                 1.6731,              0.0014179,              0.0014179,              0.0014179
                    150,                0.85574,                0.68066,                 1.1044,                 1.0447,                0.85467,                 1.1142,                0.42001,                0.34771,                 0.2855,                  0.151,                 1.7677,                 2.1699,                 1.8159,                 1.8257,                 2.7454,                 1.6788,              0.0014139,              0.0014139,              0.0014139
                    151,                0.87354,                0.69378,                 1.1062,                 1.0712,                0.88156,                 1.1165,                0.48162,                0.37409,                0.34386,                0.18528,                 1.6697,                 2.0135,                 1.7728,                 1.8207,                 2.4446,                 1.6538,                0.00141,                0.00141,                0.00141
                    152,                0.86448,                0.66831,                 1.0977,                 1.0504,                0.84229,                 1.1041,                0.41792,                0.46503,                0.34457,                0.18762,                 1.6912,                 1.8465,                 1.7691,                 1.7701,                 2.4099,                 1.6127,               0.001406,               0.001406,               0.001406
                    153,                0.86349,                0.66725,                 1.1053,                 1.0609,                0.83397,                 1.1164,                0.41224,                0.44045,                0.35845,                0.18411,                 1.7103,                 1.9283,                 1.7775,                 1.8398,                 2.4023,                 1.6678,               0.001402,               0.001402,               0.001402
                    154,                0.85346,                0.66601,                 1.0974,                 1.0583,                0.81907,                 1.1178,                0.49815,                0.38374,                0.35256,                0.18484,                 1.6914,                 2.0265,                 1.7993,                 1.8086,                 2.6198,                 1.6867,              0.0013981,              0.0013981,              0.0013981
                    155,                0.81796,                0.64093,                 1.0835,                 1.0074,                0.79356,                 1.1014,                0.45191,                0.38941,                0.31688,                0.16119,                 1.7654,                 2.1829,                 1.8214,                  1.861,                 2.7738,                 1.6809,              0.0013941,              0.0013941,              0.0013941
                    156,                0.85928,                0.66795,                 1.0992,                 1.0768,                0.86312,                 1.1183,                0.49489,                0.37227,                0.33754,                0.17518,                 1.7172,                 2.0188,                 1.7735,                 1.8481,                 2.5745,                 1.6614,              0.0013902,              0.0013902,              0.0013902
                    157,                0.83844,                0.65975,                 1.0921,                 1.0397,                0.82488,                 1.1086,                0.45933,                0.40454,                0.35199,                0.17823,                 1.7348,                 1.9621,                 1.7653,                 1.8525,                 2.5062,                 1.6611,              0.0013862,              0.0013862,              0.0013862
                    158,                0.84979,                0.65962,                 1.0981,                  1.031,                0.82513,                 1.1139,                0.39961,                0.38752,                0.28571,                0.13072,                 1.8643,                 2.1607,                 1.9026,                 1.9619,                 2.6248,                 1.8015,              0.0013822,              0.0013822,              0.0013822
                    159,                0.85045,                0.65348,                 1.0872,                 1.0474,                0.81456,                 1.1008,                0.38394,                 0.4121,                 0.3154,                 0.1485,                 1.7649,                  2.088,                 1.8116,                 1.8574,                 2.6411,                 1.6554,              0.0013783,              0.0013783,              0.0013783
                    160,                0.84247,                0.65126,                 1.0892,                 1.0253,                0.82683,                  1.104,                0.43189,                0.42911,                0.34025,                0.17327,                 1.6842,                  1.984,                 1.7326,                 1.8316,                 2.3981,                 1.6694,              0.0013743,              0.0013743,              0.0013743
                    161,                 0.8355,                0.64544,                 1.0886,                 1.0435,                0.82319,                 1.1038,                0.42887,                0.41399,                0.31278,                0.15279,                  1.737,                 2.3391,                 1.8231,                 1.8348,                 2.7912,                  1.721,              0.0013704,              0.0013704,              0.0013704
                    162,                0.84239,                0.64861,                 1.0786,                 1.0596,                0.81733,                 1.0945,                0.39742,                0.40519,                0.30317,                0.15117,                 1.7461,                 2.2934,                   1.83,                 1.8874,                 2.6887,                 1.7345,              0.0013664,              0.0013664,              0.0013664
                    163,                0.83903,                0.65476,                 1.0912,                 1.0342,                0.83969,                 1.1007,                 0.3709,                 0.4302,                 0.3122,                0.15645,                 1.7048,                 2.2634,                 1.7593,                 1.8431,                 2.6691,                 1.6871,              0.0013624,              0.0013624,              0.0013624
                    164,                0.82919,                0.64231,                 1.0718,                 1.0363,                0.82602,                 1.0867,                0.45123,                0.44423,                0.35917,                0.18573,                 1.6749,                 2.0285,                 1.7495,                 1.8344,                 2.4076,                 1.6541,              0.0013585,              0.0013585,              0.0013585
                    165,                0.82207,                0.63318,                 1.0853,                 1.0196,                0.79994,                 1.0982,                0.48431,                0.38185,                0.34658,                0.18071,                 1.7275,                   2.02,                 1.8021,                 1.8285,                 2.4676,                 1.6513,              0.0013545,              0.0013545,              0.0013545
                    166,                0.84723,                 0.6642,                 1.0919,                 1.0599,                0.83998,                 1.1091,                0.44355,                0.44612,                0.36121,                 0.1854,                 1.6997,                 1.9835,                 1.7733,                 1.8138,                 2.4539,                 1.6406,              0.0013506,              0.0013506,              0.0013506
                    167,                0.85819,                0.65475,                 1.0882,                 1.0692,                0.83554,                 1.0974,                0.42366,                0.48356,                0.35793,                0.17923,                   1.68,                 1.9806,                 1.7639,                 1.8072,                 2.4022,                 1.6693,              0.0013466,              0.0013466,              0.0013466
                    168,                0.83266,                0.66023,                 1.0903,                  1.015,                0.83652,                 1.1025,                0.45209,                0.47637,                0.38201,                0.20111,                  1.665,                  1.883,                 1.7548,                 1.8064,                  2.405,                 1.6541,              0.0013426,              0.0013426,              0.0013426
                    169,                0.85824,                0.65302,                 1.0893,                 1.0697,                0.81871,                 1.1052,                0.42649,                0.44045,                0.34778,                0.17956,                 1.7433,                 2.0112,                 1.8091,                  1.852,                 2.5058,                 1.7048,              0.0013387,              0.0013387,              0.0013387
                    170,                0.82869,                0.62693,                 1.0763,                 1.0286,                0.77228,                 1.0925,                0.46953,                 0.4116,                0.35595,                0.17734,                  1.727,                 1.9124,                 1.8288,                 1.8501,                 2.4272,                 1.6987,              0.0013347,              0.0013347,              0.0013347
                    171,                0.82808,                 0.6297,                 1.0744,                 1.0169,                0.78529,                 1.0866,                0.44041,                0.43856,                0.34811,                0.17646,                 1.6884,                 1.9859,                 1.7739,                 1.8403,                 2.4899,                 1.6901,              0.0013308,              0.0013308,              0.0013308
                    172,                0.82006,                0.63081,                 1.0743,                 1.0122,                0.78776,                 1.0909,                0.41678,                0.46503,                0.36547,                0.19145,                 1.7254,                 2.1215,                 1.8288,                 1.8104,                 2.5898,                 1.6984,              0.0013268,              0.0013268,              0.0013268
                    173,                 0.8272,                0.63832,                 1.0741,                 1.0312,                0.79531,                 1.0955,                0.46375,                0.37429,                0.32793,                0.17131,                 1.7043,                  2.059,                 1.8244,                 1.8365,                 2.6028,                 1.7043,              0.0013228,              0.0013228,              0.0013228
                    174,                0.81828,                0.62552,                 1.0689,                  1.027,                0.79689,                 1.0876,                0.38896,                0.42722,                0.31719,                0.15124,                 1.7809,                 2.2252,                 1.8669,                 1.8707,                 2.7365,                 1.6947,              0.0013189,              0.0013189,              0.0013189
                    175,                0.79951,                0.61343,                 1.0659,                0.98078,                0.77224,                 1.0829,                0.42879,                0.41966,                0.34404,                0.17194,                 1.7912,                 2.0639,                 1.8347,                 1.9184,                 2.4207,                 1.7359,              0.0013149,              0.0013149,              0.0013149
                    176,                0.82244,                 0.6196,                 1.0644,                 1.0372,                0.79155,                 1.0818,                0.47206,                0.44792,                0.36959,                0.17852,                  1.688,                 1.9654,                 1.7687,                 1.7989,                 2.3917,                 1.6595,               0.001311,               0.001311,               0.001311
                    177,                  0.808,                0.61434,                 1.0659,                 1.0115,                0.75694,                 1.0868,                 0.4099,                0.39319,                0.32943,                0.17238,                 1.7821,                 2.1738,                 1.8905,                 1.9106,                 2.6409,                 1.7766,               0.001307,               0.001307,               0.001307
                    178,                0.82331,                0.62963,                 1.0751,                 1.0265,                0.81029,                 1.0904,                0.44158,                0.40361,                0.31209,                0.16167,                 1.7404,                 2.1641,                 1.8313,                 1.8347,                 2.6744,                 1.7307,               0.001303,               0.001303,               0.001303
                    179,                0.82511,                0.62802,                 1.0688,                 1.0331,                0.79151,                 1.0824,                0.47161,                0.44612,                0.37604,                0.19609,                 1.7002,                 1.9393,                 1.8148,                 1.8223,                 2.4308,                  1.699,              0.0012991,              0.0012991,              0.0012991
                    180,                0.79981,                0.61973,                 1.0539,                  1.014,                0.78025,                  1.073,                0.48277,                0.42346,                0.37026,                 0.1943,                 1.7207,                 1.9708,                 1.8105,                 1.8342,                 2.5324,                 1.6986,              0.0012951,              0.0012951,              0.0012951
                    181,                0.79589,                0.60524,                 1.0667,                0.98033,                0.73942,                 1.0838,                0.42524,                0.44612,                0.34898,                 0.1716,                 1.7083,                 2.0766,                 1.8222,                 1.8231,                 2.5716,                 1.7015,              0.0012912,              0.0012912,              0.0012912
                    182,                0.81128,                0.61549,                 1.0638,                 1.0032,                0.76055,                 1.0787,                0.46984,                0.40076,                0.34679,                0.17542,                 1.6922,                  2.051,                 1.7978,                 1.8277,                 2.5486,                 1.6863,              0.0012872,              0.0012872,              0.0012872
                    183,                0.78947,                0.60049,                 1.0493,                0.98734,                0.75148,                 1.0663,                 0.4131,                0.43856,                0.33654,                0.17564,                 1.7137,                 2.0969,                 1.8051,                 1.8224,                 2.5556,                 1.6859,              0.0012832,              0.0012832,              0.0012832
                    184,                0.79642,                0.60008,                 1.0556,                 1.0044,                0.75992,                  1.071,                0.48372,                0.43571,                0.36758,                0.19087,                 1.7563,                 1.9535,                  1.842,                  1.838,                 2.5024,                 1.7088,              0.0012793,              0.0012793,              0.0012793
                    185,                0.80504,                0.61143,                 1.0775,                0.99008,                0.77606,                   1.09,                 0.5197,                0.44999,                0.37933,                0.19133,                 1.7045,                 1.9084,                 1.8103,                 1.7973,                 2.4232,                 1.6578,              0.0012753,              0.0012753,              0.0012753
                    186,                0.77198,                0.58379,                 1.0559,                0.95033,                0.72019,                 1.0714,                0.50099,                 0.4441,                0.37593,                0.18889,                 1.6987,                 1.9939,                 1.8058,                 1.7848,                 2.4836,                 1.6651,              0.0012714,              0.0012714,              0.0012714
                    187,                0.79173,                0.58599,                 1.0526,                0.98482,                0.72774,                 1.0629,                0.46325,                0.43667,                0.34397,                 0.1693,                 1.7907,                 2.0432,                 1.8624,                 1.9166,                 2.5227,                 1.7675,              0.0012674,              0.0012674,              0.0012674
                    188,                0.79556,                0.60243,                 1.0602,                0.98402,                0.75282,                 1.0794,                0.49176,                0.45177,                0.39244,                0.21177,                 1.6627,                    1.8,                 1.7415,                 1.8025,                 2.3075,                 1.6412,              0.0012634,              0.0012634,              0.0012634
                    189,                0.78094,                0.58771,                 1.0442,                0.97652,                0.75391,                 1.0569,                0.48556,                0.41399,                 0.3545,                0.18355,                 1.7744,                 1.9806,                 1.8358,                 1.8996,                 2.4549,                 1.7317,              0.0012595,              0.0012595,              0.0012595
                    190,                0.78654,                0.59347,                 1.0553,                0.97908,                0.75309,                 1.0637,                0.47058,                0.46125,                0.38691,                0.20249,                 1.7266,                 1.8824,                 1.8137,                 1.8164,                 2.4056,                 1.6723,              0.0012555,              0.0012555,              0.0012555
                    191,                0.77025,                 0.5864,                 1.0429,                0.95957,                0.73174,                 1.0588,                0.46433,                 0.4457,                0.37095,                0.18991,                 1.7043,                 1.9871,                 1.7983,                 1.8704,                  2.406,                 1.7154,              0.0012516,              0.0012516,              0.0012516
                    192,                0.77673,                0.59358,                  1.046,                0.97393,                 0.7483,                 1.0629,                0.46043,                0.49905,                 0.3904,                 0.2044,                 1.7059,                 1.8863,                 1.7694,                 1.8261,                 2.2887,                 1.6831,              0.0012476,              0.0012476,              0.0012476
                    193,                0.79138,                0.60792,                 1.0458,                 1.0037,                0.76285,                 1.0642,                0.48147,                0.43856,                0.36483,                0.18467,                 1.7342,                 2.0271,                 1.8547,                 1.8506,                  2.476,                 1.7185,              0.0012436,              0.0012436,              0.0012436
                    194,                0.78653,                0.59195,                 1.0476,                 0.9813,                0.74315,                 1.0612,                0.47401,                0.45936,                0.37113,                0.17628,                  1.699,                 2.0088,                 1.7763,                 1.8414,                 2.4409,                 1.6892,              0.0012397,              0.0012397,              0.0012397
                    195,                0.79176,                0.58844,                 1.0622,                0.99248,                 0.7454,                 1.0757,                0.42418,                0.44991,                0.35802,                0.18253,                 1.7009,                 1.9999,                 1.7747,                 1.8098,                 2.4407,                 1.6769,              0.0012357,              0.0012357,              0.0012357
                    196,                0.77121,                0.59667,                 1.0539,                0.94746,                0.75573,                 1.0716,                0.50173,                0.44045,                0.38724,                0.19716,                 1.7366,                 2.1026,                 1.8001,                  1.869,                 2.4513,                 1.7046,              0.0012318,              0.0012318,              0.0012318
                    197,                0.76544,                0.58486,                 1.0437,                0.95797,                0.74784,                 1.0634,                0.46573,                0.44612,                0.37002,                0.19021,                 1.7055,                 1.9515,                  1.762,                 1.8557,                  2.424,                 1.6818,              0.0012278,              0.0012278,              0.0012278
                    198,                0.78336,                0.59545,                 1.0562,                 0.9559,                0.73759,                  1.071,                0.52087,                0.43667,                0.37823,                 0.1969,                 1.6982,                 1.9134,                 1.8006,                 1.8029,                 2.4599,                 1.6606,              0.0012238,              0.0012238,              0.0012238
                    199,                0.79323,                0.59467,                 1.0534,                0.99274,                0.76257,                 1.0702,                0.45757,                0.42896,                0.35343,                0.17778,                 1.7009,                 1.9459,                 1.7464,                 1.8387,                 2.4327,                 1.7029,              0.0012199,              0.0012199,              0.0012199
                    200,                0.78763,                0.59538,                 1.0525,                0.99084,                0.75338,                 1.0703,                0.42231,                0.47826,                0.34589,                 0.1658,                  1.727,                 1.9913,                 1.8128,                 1.8564,                  2.442,                 1.7299,              0.0012159,              0.0012159,              0.0012159
                    201,                0.78141,                0.58329,                  1.049,                0.97517,                0.72963,                  1.065,                0.46535,                0.43667,                0.33846,                0.17349,                 1.7146,                 1.9771,                 1.8429,                 1.8369,                 2.4516,                 1.7431,               0.001212,               0.001212,               0.001212
                    202,                0.78011,                0.58473,                  1.051,                0.96989,                0.73802,                  1.066,                 0.4316,                0.46314,                0.37475,                  0.193,                 1.7675,                 1.9386,                 1.8316,                 1.8501,                 2.3591,                 1.6938,               0.001208,               0.001208,               0.001208
                    203,                0.77527,                0.58353,                 1.0395,                0.96005,                0.72279,                 1.0567,                0.40989,                0.42344,                0.32077,                0.15635,                 1.8271,                 2.0698,                 1.8765,                 1.9096,                 2.4534,                 1.7692,               0.001204,               0.001204,               0.001204
