                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4113,                 1.5464,                 1.5178,                 1.5371,                 2.0224,                 1.4492,                0.12609,                0.18715,                0.05529,                0.02137,                 2.2005,                 5.6759,                 2.6267,                 2.0783,                  4.486,                 2.1266,              0.0019168,              0.0019168,              0.0019168
                     24,                 1.4089,                 1.5261,                 1.5191,                 1.5496,                 1.9932,                 1.4511,                0.13214,                0.16446,                0.05799,                0.02375,                  2.258,                 8.0529,                  2.414,                 2.2038,                 5.7712,                 2.1096,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.3893,                 1.5077,                  1.508,                 1.5224,                 1.9384,                 1.4356,                0.14882,                0.24953,                0.08405,                0.02984,                 2.1898,                 5.9956,                 2.3193,                 2.1823,                 4.5412,                 2.1273,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.4006,                 1.4965,                 1.5034,                 1.5298,                 1.9172,                 1.4388,                 0.1686,                0.24764,                0.09479,                0.03775,                 2.0766,                 4.4678,                 2.1225,                 2.0711,                 4.3043,                  1.903,               0.001905,               0.001905,               0.001905
                     27,                 1.4001,                 1.4998,                 1.4864,                  1.533,                 1.9102,                 1.4233,                0.13659,                 0.2155,                 0.0764,                0.03142,                 2.0934,                 4.9742,                 2.2366,                 2.0504,                 4.2418,                 1.9314,               0.001901,               0.001901,               0.001901
                     28,                 1.3563,                 1.4653,                 1.4786,                  1.469,                 1.8711,                 1.4027,                0.16158,                0.18361,                0.08264,                0.03704,                 2.1107,                 5.8529,                 2.2326,                  2.092,                 4.4573,                  1.944,               0.001897,               0.001897,               0.001897
                     29,                 1.3165,                 1.4103,                 1.4504,                 1.4416,                   1.81,                  1.388,                 0.1216,                0.25709,                0.06925,                  0.027,                 2.1776,                 5.8382,                 2.2659,                 2.2634,                 4.6493,                 2.0839,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.3571,                 1.4461,                 1.4767,                 1.5212,                 1.8292,                 1.4178,                0.18424,                0.22495,                0.10809,                0.04337,                 1.9874,                 3.8067,                 2.0902,                 2.0514,                 3.8786,                 1.8968,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.3238,                 1.4039,                 1.4662,                 1.4853,                 1.7833,                 1.4119,                0.24077,                0.26737,                0.14678,                0.06196,                 1.9947,                 3.5539,                 2.0103,                 1.9783,                 3.5195,                 1.8204,              0.0018852,              0.0018852,              0.0018852
                     32,                 1.3293,                 1.3812,                 1.4516,                 1.5042,                 1.7629,                 1.3998,                0.30879,                 0.3327,                0.21823,                0.09262,                 1.8892,                 2.8381,                 1.9733,                  1.909,                 3.1288,                 1.7767,              0.0018812,              0.0018812,              0.0018812
